PRICES ARE IN CAD,,,,,
Component,,Link,Quantity,Total Price,
,,,,,
Frame,,,,,
E3D Titan Extruder Transparent,,https://www.aliexpress.com/item/1005007308967251.html?spm=a2g0o.productlist.main.5.4a1253c2cqcymQ&algo_pvid=48675c05-d05f-4269-8e3d-91820b1db4a6&algo_exp_id=48675c05-d05f-4269-8e3d-91820b1db4a6-2&pdp_ext_f=%7B%22order%22%3A%2222%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%215.00%215.00%21%21%2124.55%2124.55%21%402101ea7117419981416002475eaeeb%2112000040189614187%21sea%21CA%216156843420%21X&curPageLogUid=4G1JWNYqi51J&utparam-url=scene%3Asearch%7Cquery_from%3A#nav-specification,1,8.79,
E3D V6 24V 40W,,https://www.aliexpress.com/item/1005003651646732.html?spm=a2g0o.productlist.main.17.d2bb103ef5ga2C&algo_pvid=2c7e3600-b9cc-4d74-82e3-b81ad2ac6a10&algo_exp_id=2c7e3600-b9cc-4d74-82e3-b81ad2ac6a10-8&pdp_ext_f=%7B%22order%22%3A%22554%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%218.09%218.09%21%21%215.48%215.48%21%402103244b17419981925793742e129c%2112000026656848495%21sea%21CA%216156843420%21X&curPageLogUid=LrtOGFWSnCHr&utparam-url=scene%3Asearch%7Cquery_from%3A,1,7.43,
E3D V6 24V Fan Mount,,https://www.aliexpress.com/item/1005008164327244.html?spm=a2g0o.productlist.main.9.6d2b1a3eV6ycma&algo_pvid=494a5f31-0576-4fbf-b9fd-a24949ee5cb8&algo_exp_id=494a5f31-0576-4fbf-b9fd-a24949ee5cb8-4&pdp_ext_f=%7B%22order%22%3A%2216%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%212.96%212.86%21%21%212.02%211.95%21%402103244817429397418725447ef8c5%2112000044052794010%21sea%21CA%216156843420%21X&curPageLogUid=iayJypjo1iqY&utparam-url=scene%3Asearch%7Cquery_from%3A,1,2.86,
,,,,,
Electronics,,,,,
SKR Mini E3 V2,,https://www.aliexpress.com/item/1005008687328147.html?spm=a2g0o.productlist.main.3.757a2f76Fzhv7p&algo_pvid=0dbc8334-c15e-4869-830e-e228f3c0e26a&algo_exp_id=0dbc8334-c15e-4869-830e-e228f3c0e26a-1&pdp_ext_f=%7B%22order%22%3A%224%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%2166.76%2133.38%21%21%21331.32%21165.66%21%40210318ec17429452252123063e9b42%2112000046243882507%21sea%21CA%216156843420%21X&curPageLogUid=MzCpiSZviKUR&utparam-url=scene%3Asearch%7Cquery_from%3A,1,33.38,
Nema 17HS4401S,,https://www.aliexpress.com/item/1005004586903773.html?spm=a2g0o.productlist.main.13.4ae66d56Rpev48&algo_pvid=479b15f9-d45b-417e-a51a-ddbf74015c32&algo_exp_id=479b15f9-d45b-417e-a51a-ddbf74015c32-6&pdp_ext_f=%7B%22order%22%3A%22100%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%2112.83%2112.28%21%21%218.76%218.38%21%40210313e917429414938114070e4a96%2112000045275841618%21sea%21CA%216156843420%21X&curPageLogUid=WpGLkINgl5CJ&utparam-url=scene%3Asearch%7Cquery_from%3A,3,37.18,
Nema 17 20mm,,https://www.aliexpress.com/item/1005005742670433.html?spm=a2g0o.productlist.main.1.d3c5wKKjwKKj5U&algo_pvid=3cf8392a-a6d2-4d41-a539-af725466216d&algo_exp_id=3cf8392a-a6d2-4d41-a539-af725466216d-0&pdp_ext_f=%7B%22order%22%3A%22186%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%2114.03%2112.99%21%21%219.58%218.87%21%402103245417429424172541533e4288%2112000034182321935%21sea%21CA%216156843420%21X&curPageLogUid=D9yVHJqoRZ7t&utparam-url=scene%3Asearch%7Cquery_from%3A,1,13,
Mean Well 24v LRS-100,,https://www.aliexpress.com/item/4000364274787.html,1,32.38,
Limit Switch KW11-3Z-B-2,,https://www.aliexpress.com/item/1005006085607858.html?spm=a2g0o.productlist.main.17.4f677a51VtG8zS&algo_pvid=1d445148-f877-4f68-ad22-ef0690ece59e&algo_exp_id=1d445148-f877-4f68-ad22-ef0690ece59e-8&pdp_ext_f=%7B%22order%22%3A%222261%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%212.70%212.70%21%21%2113.32%2113.32%21%40210318c317416515137508829e37c3%2112000035662954858%21sea%21CA%216156843420%21X&curPageLogUid=tF0WywRVL0hM&utparam-url=scene%3Asearch%7Cquery_from%3A,1,3.5,
